FB_ad_spending_congress_2020_dataset
,X.1,names.candidate,office,state_po,district,candidatevotes,totalvotes,loc_identifier,expenditures.candidate,facebook.advertiser,spending,ad_spending,X,year,state,state_fips,state_cen,state_ic,stage,special,party,writein,mode,unofficial,version,foreign_born,median_income,BA_education,HS_education,asian_alone,black_alone,hispanic,multiracial,white_non_hispanic,white_alone,Age_65_plus,median_age,gini,population,vote_share,full_race,winner,total_margin,margin,ad_rate
12,12,AJA SMITH,US HOUSE,CA,41,94447,262573,CA.41,"SMITH, AJA",Aja Smith for Congress 2020,667305.83,44721,29760,2020,CALIFORNIA,6,93,71,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,24.9,53970,16.5,73.1,5,9.1,59.3,4.3,24.6,57.9,13.2,30.4,0.463475181,734942,0.359698064919089,CA 41 US HOUSE,FALSE,-73679,-0.280603870161822,0.0670172475489986
13,13,"AL LAWSON, JR.",US HOUSE,FL,5,219463,336973,FL.5,"LAWSON, ALFRED JR",Al Lawson for Congress,731877.75,34395,29878,2020,FLORIDA,12,59,43,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,12.5,34021,15.9,80.5,2.8,52.2,12.5,3.3,30,38.5,17.1,34.1,0.467650351,729368,0.651277698806729,FL 5 US HOUSE,TRUE,101953,0.302555397613459,0.0469955535606869
14,14,ALAINA SHEARER,US HOUSE,OH,12,182847,437672,OH.12,"SHEARER, ALAINA",Alaina Shearer for Congress,1032453,122313,30701,2020,OHIO,39,31,24,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,4.7,63089,37.7,92.1,3.4,4.7,2.8,3,86.2,88.2,19,37.8,0.499596542,744647,0.417771756018205,OH 12 US HOUSE,FALSE,-58943,-0.134673911056682,0.118468346743145
15,15,ALAN COHN,US HOUSE,FL,15,174297,390671,FL.15,"COHN, ALAN",Cohn for Congress 2020,2320645.03,28413,29891,2020,FLORIDA,12,59,43,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,11.2,50944,26.4,87,3.6,14,18.6,2.7,62.4,76.6,20,37.9,0.488882797,718325,0.446147781637234,FL 15 US HOUSE,FALSE,-42077,-0.107704436725531,0.0122435786743309
16,16,ALAN D. SWAIN,US HOUSE,NC,2,172544,495345,NC.2,"SWAIN, ALAN D",Swain for Congress,119441.48,2184,30641,2020,NORTH CAROLINA,37,56,47,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,8.7,50767,28,86.4,3.4,16.1,11.9,3.6,65.1,72.5,18.2,36,0.492602268,777683,0.34833096124923,NC 2 US HOUSE,FALSE,-139343,-0.281304949075897,0.018285104973582
17,17,ALAN S. LOWENTHAL,US HOUSE,CA,47,197028,311399,CA.47,"LOWENTHAL, ALAN",Alan Lowenthal for Congress 2020,859602.01,14305,29771,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,29.9,58784,29.3,81.1,21.1,7.8,35.4,4.5,32.3,55.1,17,35.8,0.505540846,721957,0.632718794858044,CA 47 US HOUSE,TRUE,82657,0.265437589716088,0.0166414222321327
18,18,ALBIO SIRES,US HOUSE,NJ,8,176758,238773,NJ.8,"SIRES, ALBIO",Sires for Congress,551324.8,3348,30412,2020,NEW JERSEY,34,22,12,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,43.6,53583,28.9,76.9,8.3,10.6,55.1,3.8,25.5,55.7,14.2,34.3,0.542091059,758406,0.740276329400728,NJ 8 US HOUSE,TRUE,118072,0.494494771184347,0.00607264538072657
19,19,ALEXANDER X. MOONEY,US HOUSE,WV,2,172195,272994,WV.2,"MOONEY, ALEXANDER XAVIER",Alex Mooney for Congress,859927.11,7684,31063,2020,WEST VIRGINIA,54,55,56,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,1.8,45013,20.2,85.2,0.7,3.7,1.9,2.8,90.7,92.3,23.9,42,0.489156698,626979,0.630764778713085,WV 2 US HOUSE,TRUE,71396,0.261529557426171,0.00893564106846219
20,20,ALEXANDRIA OCASIO-CORTEZ,US HOUSE,NY,14,152661,223611,NY.14,"OCASIO-CORTEZ, ALEXANDRIA",Alexandria Ocasio-Cortez for Congress,17310936.07,25408,30629,2020,NEW YORK,36,21,13,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,47.1,51231,24.8,74.4,16.2,11.3,49.8,3.1,22.8,47.8,17.3,35.7,0.475844925,727544,0.682707916873499,NY 14 US HOUSE,TRUE,100184,0.448028048709589,0.0014677426972902
21,21,ALEXIS M. JOHNSON,US HOUSE,NM,3,131166,716149,NM.3,"JOHNSON, ALEXIS M",Alexis Johnson for Congress,156175.45,18569,30420,2020,NEW MEXICO,35,85,66,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,6.8,47018,26.1,84.8,1,1.3,40,3.8,38.5,65.2,21.4,38.1,0.508284396,693818,0.183154622850831,NM 3 US HOUSE,FALSE,-55116,-0.0769616378714485,0.118898328770623
23,23,ALISCIA N. ANDREWS,US HOUSE,VA,10,206253,475546,VA.10,"ANDREWS, ALISCIA",Aliscia Andrews for Congress,1419877.44,8445,31024,2020,VIRGINIA,51,54,40,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,19.7,113376,53,92.2,12.3,7.1,12.3,4.4,64.3,73.6,14.9,36.8,0.474660538,781947,0.433718294339559,VA 10 US HOUSE,FALSE,-62481,-0.131387920411485,0.00594769644343388
24,24,AMANDA L. ADKINS,US HOUSE,KS,3,178773,410418,KS.3,"ADKINS, AMANDA",Amanda Adkins for Congress,2183399.98,39344,30096,2020,KANSAS,20,47,32,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,9.4,65779,43.9,92,4.2,8.8,11.6,2.9,72.8,81.6,17.5,36,0.496982187,738508,0.435587620426005,KS 3 US HOUSE,FALSE,-41276,-0.10057063774006,0.0180196026199469
25,25,AMANDA STUCK,US HOUSE,WI,8,149558,417838,WI.8,"STUCK, AMANDA",Amanda Stuck for Congress,407495.73,22531,31088,2020,WISCONSIN,55,35,25,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,3.5,53562,23.4,91.2,2.3,1.4,4.7,2,87.9,90.3,21.3,39.8,0.44809465,720600,0.357932978809969,WI 8 US HOUSE,FALSE,-118615,-0.28387796227246,0.0552913769182318
26,26,AMI BERA,US HOUSE,CA,7,217416,383965,CA.7,"BERA, AMERISH",Bera for Congress,1126435.93,0,29704,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,17.9,64282,31.1,89.6,14.5,7.5,17.2,6.5,55.1,66.1,19.4,37.8,0.479067436,721042,0.566239110335578,CA 7 US HOUSE,TRUE,50867,0.132478220671155,0
27,27,AMMAR CAMPA-NAJJAR,US HOUSE,CA,50,166869,362390,CA.50,"CAMPA-NAJJAR, AMMAR",Ammar Campa-Najjar for Congress,6428682.95,400498,29777,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,19,61656,24.7,83.7,5.3,2.7,30.6,4.7,57.4,79.4,18.1,36.9,0.486941178,730427,0.460468004083998,CA 50 US HOUSE,FALSE,-28652,-0.0790639918320042,0.0622986081464789
28,28,AMY KENNEDY,US HOUSE,NJ,2,173849,376547,NJ.2,"KENNEDY, AMY",Amy Kennedy for Congress,5042549.44,200834,30405,2020,NEW JERSEY,34,22,12,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,10.4,58166,23.5,85,3.9,13.2,15.1,2.9,66.4,74.9,22.9,41.2,0.486931688,732764,0.461692697060394,NJ 2 US HOUSE,FALSE,-21677,-0.0575678467760997,0.0398278692930376
29,29,AMY MCGRATH,US SENATE,KY,0,816257,2135057,KENTUCKY,"MCGRATH, AMY",Amy McGrath for Congress,92942100.01,4677748,3508,2020,KENTUCKY,21,61,51,gen,FALSE,DEMOCRAT,FALSE,total,FALSE,20210114,3.9,50589,24.2,86.3,1.6,8.5,3.9,2,84.1,87.5,16.8,39.2,0.48,4505836,0.382311572946296,KY 0 US SENATE,FALSE,-417058,-0.195338110411104,0.05032969988301
30,30,AMY RYAN COURSER,US HOUSE,OR,5,204372,452646,OR.5,"COURSER, AMY RYAN",Amy Ryan Courser for Congress,221541.97,6214,30746,2020,OREGON,41,92,72,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,10.3,53008,27.9,88.3,3,0.9,15.9,4.1,76,87.1,22.3,39.2,0.477750962,785707,0.451505149719648,OR 5 US HOUSE,FALSE,-30491,-0.0673616910344949,0.0280488613511923
31,31,ANDRE CARSON,US HOUSE,IN,7,176422,282568,IN.7,"CARSON, ANDRE",Andre Carson for Congress,882861.6,7603,30056,2020,INDIANA,18,32,22,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,8.6,38906,20.8,81.9,2,29.7,10.8,2.9,54.7,58.9,15.3,33.2,0.466307865,743136,0.624352368279494,IN 7 US HOUSE,TRUE,70276,0.248704736558988,0.00861176882084349
32,32,ANDREW CLYDE,US HOUSE,GA,9,292750,372547,GA.9,"CLYDE, ANDREW","CLYDE FOR CONGRESS, INC.",1925862.71,43084,29960,2020,GEORGIA,13,58,44,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,7.7,44956,20.3,80.5,1.2,7.3,12.3,1.1,78,86.6,22.9,39.9,0.483443687,711655,0.785806891479464,GA 9 US HOUSE,TRUE,212953,0.571613782958929,0.0223712727684519
33,33,ANDREW R. GARBARINO,US HOUSE,NY,2,158130,623385,NY.2,"GARBARINO, ANDREW",Garbarino for Congress,1664775.69,87667,30431,2020,NEW YORK,36,21,13,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,16.8,87268,27.4,88,2.8,10.3,22.1,3.7,64,74.2,19.4,40.3,0.464614151,718587,0.25366346639717,NY 2 US HOUSE,TRUE,13393,0.0214843154711775,0.052659947238898
34,34,ANDY BIGGS,US HOUSE,AZ,5,262414,445657,AZ.5,"BIGGS, ANDY MR.",Biggs for Congress,1338431.77,36595,29670,2020,ARIZONA,4,86,61,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,9.5,64847,33,92.6,5.4,3.1,16.9,2.9,71.9,85.4,20.5,37.3,0.467149204,759102,0.588825038089831,AZ 5 US HOUSE,TRUE,79243,0.177811635405704,0.0273417000554313
35,35,ANDY CALDWELL,US HOUSE,CA,24,149781,362345,CA.24,"CALDWELL, JAMES ANDREW",Andy Caldwell for Congress,1288902.84,24107,29766,2020,CALIFORNIA,6,93,71,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,18.2,60947,31.5,83.4,4.6,2,35.2,3.8,55.8,72.7,20.7,35.9,0.510325789,722008,0.413365714995377,CA 24 US HOUSE,FALSE,-62783,-0.173268570009245,0.0187035044472398
36,36,ANDY KIM,US HOUSE,NJ,3,229840,431762,NJ.3,"KIM, ANDY",Andy Kim for Congress,6869993.74,341509,30409,2020,NEW JERSEY,34,22,12,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,8.4,73450,30.8,91.4,3.6,10.6,7.4,2.5,76.1,81,24.1,42.9,0.477397323,742640,0.532330311606858,NJ 3 US HOUSE,TRUE,33513,0.0776191512916838,0.0497102345249007
37,37,ANDY LEVIN,US HOUSE,MI,9,230318,399117,MI.9,"LEVIN, ANDY",Andy Levin for Congress,919436.78,46219,30232,2020,MICHIGAN,26,34,23,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,10.6,50731,27.7,88.4,4.2,11.8,2.1,2.7,79.1,80.6,21.9,39.9,0.490149863,713212,0.57706887955161,MI 9 US HOUSE,TRUE,77022,0.192981005569795,0.0502688178299763
38,38,ANGELICA MARIA DUENAS,US HOUSE,CA,29,91524,210944,CA.29,"DUENAS, ANGELICA MARIA",Angelica Duenas for Congress 2020,76627.11,54222,29736,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,44.8,47098,18.3,65.6,8.2,4.1,68.7,2.3,17.8,58.5,13.3,33,0.465953702,692267,0.433878185679612,CA 29 US HOUSE,FALSE,-27896,-0.132243628640777,0.707608573519215
39,39,ANGIE CRAIG,US HOUSE,MN,2,204534,424512,MN.2,"CRAIG, ANGELA DAWN",Angie Craig for Congress,4731913.51,135688,30278,2020,MINNESOTA,27,41,33,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,7.5,74051,36.4,94.4,4.5,4.1,5.6,2.7,83,86.4,17.3,37.3,0.458208891,681195,0.481809701492537,MN 2 US HOUSE,TRUE,9580,0.0225670887984321,0.0286750803270705
40,40,ANN KIRKPATRICK,US HOUSE,AZ,2,209945,381054,AZ.2,"KIRKPATRICK, ANN",Kirkpatrick for Congress,1433662.33,8727,29672,2020,ARIZONA,4,86,61,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,10.7,47030,31.8,90.1,3,4.1,26.5,4.2,62.5,79.7,25.1,40.2,0.497299651,717970,0.550958656778304,AZ 2 US HOUSE,TRUE,38970,0.102268969752319,0.00608720743886742
41,41,ANN M. KUSTER,US HOUSE,NH,2,208289,386441,NH.2,"KUSTER, ANN MCLANE",Kuster for Congress,3055351.43,62289,30377,2020,NEW HAMPSHIRE,33,12,4,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,5.3,64303,33.8,91.6,2.4,1.1,3.1,2,91.3,93.3,22.4,42.7,0.483856856,660986,0.538993015751434,NH 2 US HOUSE,TRUE,39403,0.101963818538923,0.0203868528472353
42,42,ANN WAGNER,US HOUSE,MO,2,233157,449348,MO.2,"WAGNER, ANN L.",Ann Wagner for Congress,6568319.89,3608,30317,2020,MISSOURI,29,43,34,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,7.2,73780,46.6,94.4,4.2,4,2.7,1.7,87.2,89.4,23.7,42,0.496487478,768428,0.518878463907706,MO 2 US HOUSE,TRUE,28617,0.0636856067012649,0.000549303331814432
43,43,ANTHONY BRINDISI,US HOUSE,NY,22,138898,326568,NY.22,"BRINDISI, ANTHONY",Brindisi for Congress,5901341.91,239684,30569,2020,NEW YORK,36,21,13,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,5,48020,23,88.3,2.4,4.1,3.5,2,88.6,90.3,23.5,40.8,0.468157697,713145,0.425326425124323,NY 22 US HOUSE,FALSE,-4393,-0.0134520222434531,0.0406151691692102
44,44,ANTHONY G. BROWN,US HOUSE,MD,4,282119,354529,MD.4,"BROWN, ANTHONY",Anthony Brown for Congress,855967.78,4007,30172,2020,MARYLAND,24,52,52,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,17.8,73903,30.8,85.8,3.1,52.8,15.7,2.1,26.9,32.6,17.1,36.5,0.468631958,739293,0.795757187705378,MD 4 US HOUSE,TRUE,210448,0.593598831125239,0.00468125096951663
45,45,ANTHONY GONZALEZ,US HOUSE,OH,16,247335,391406,OH.16,"GONZALEZ, ANTHONY E",Anthony Gonzalez for Congress,1895208.47,13411,30699,2020,OHIO,39,31,24,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,5.4,59799,31,92.2,2.5,2.2,1.9,1.7,91.8,93.4,24.3,42.9,0.461322925,720643,0.631914176072927,OH 16 US HOUSE,TRUE,103264,0.263828352145854,0.00707626639089472
47,47,ANTONIO C. 'TONY' AMADOR,US HOUSE,CA,9,128358,302610,CA.9,"AMADOR, ANTONIO",Tony Amador for Congress,52225,20117,29709,2020,CALIFORNIA,6,93,71,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,22.3,55399,19.1,78.9,14.5,8.5,37.4,8.2,35.9,54.5,17.2,34.5,0.486955472,724907,0.424169723406365,CA 9 US HOUSE,FALSE,-45894,-0.151660553187271,0.385198659645763
48,48,ANTONIO DELGADO,US HOUSE,NY,19,168281,370433,NY.19,"DELGADO, ANTONIO",Antonio Delgado for Congress,3034333.02,42932,30543,2020,NEW YORK,36,21,13,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,6.1,56796,26.7,88.4,1.5,4.2,6.5,3,85.8,90.2,24.8,43.9,0.485315493,709970,0.454281880933934,NY 19 US HOUSE,TRUE,16806,0.0453685281818844,0.0141487436339469
49,49,ASHLEY HINSON,US HOUSE,IA,1,212088,423971,IA.1,"ARENHOLZ, ASHLEY HINSON",Ashley Hinson for Congress,5062131.23,324403,30077,2020,IOWA,19,42,31,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,3.1,52432,24.3,91.4,1.3,3.7,3.6,1.7,89.6,91.9,22.4,38.6,0.445564403,766821,0.500241761818615,IA 1 US HOUSE,TRUE,10741,0.0253342799389581,0.064084273058247
50,50,AUDREY DENNEY,US HOUSE,CA,1,154073,358263,CA.1,"DENNEY, AUDREY L",Audrey Denney for Congress,2475446.47,64791,29696,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,6.5,45751,22.1,88,2.7,1.4,12.9,4.4,78.1,86.5,26.1,42.4,0.489278238,707992,0.430055573698652,CA 1 US HOUSE,FALSE,-50117,-0.139888852602697,0.0261734603374397
51,51,AUGUST PFLUGER,US HOUSE,TX,11,232568,291773,TX.11,"PFLUGER, AUGUST LEE II",August Pfluger for Congress,2004399.77,68961,30868,2020,TEXAS,48,74,49,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,8.4,48328,18.9,80.1,0.9,3.7,35.6,2.2,58.2,85.5,21.1,35.6,0.504868516,729613,0.797085405435047,TX 11 US HOUSE,TRUE,179174,0.614086978575811,0.0344048133671458
52,52,BARBARA LEE,US HOUSE,CA,13,327863,362818,CA.13,"LEE, BARBARA",Barbara Lee for Congress,1810132.05,18515,29743,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,27,59193,44.5,84.6,20.8,18.5,21.4,6.6,33.8,44.9,18.7,36.7,0.55407029,732753,0.903656929920787,CA 13 US HOUSE,TRUE,292908,0.807313859841573,0.0102285355369516
53,53,BARRY LOUDERMILK,US HOUSE,GA,11,245259,405882,GA.11,"LOUDERMILK, BARRY",Loudermilk for Congress,723065.86,10299,29964,2020,GEORGIA,13,58,44,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,12,61462,37.8,88.8,3.1,15.6,12.2,2.2,67.5,74.5,15.4,35.5,0.511597698,730150,0.604261829792895,GA 11 US HOUSE,TRUE,84636,0.208523659585791,0.0142435157981321
54,54,BECKY E. HITES,US HOUSE,GA,13,81476,360582,GA.13,"HITES, BECKY E",Becky E. Hites for Congress Committee,63306.05,5737,29974,2020,GEORGIA,13,58,44,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,11.4,51180,26.9,86.7,2.7,56.4,9.9,2.1,29.7,36.4,14.5,35.2,0.46478804,718624,0.22595692519316,GA 13 US HOUSE,FALSE,-197569,-0.547916978662274,0.0906232500685163
55,55,BEN CLINE,US HOUSE,VA,6,246606,381813,VA.6,"CLINE, BENJAMIN LEE","BEN CLINE FOR CONGRESS, INC.",680286.14,22791,31012,2020,VIRGINIA,51,54,40,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,4.7,47939,25.1,84.4,1.8,10.4,4.6,2.6,80.8,84.2,22.8,39.9,0.477138071,735143,0.645881622679165,VA 6 US HOUSE,TRUE,111877,0.293015167110601,0.0335020789928191
56,56,BETH DOGLIO,US HOUSE,WA,10,121040,340407,WA.10,"DOGLIO, BETH",Beth Doglio for Congress,1483736.39,750,31043,2020,WASHINGTON,53,91,73,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,10.2,57401,25.3,90.7,6.4,6.8,11,6.7,67.8,74.4,18.5,35.3,0.446362221,701194,0.355574356579036,WA 10 US HOUSE,FALSE,-46897,-0.137767437214863,0.000505480626514795
57,57,BETSY DIRKSEN LONDRIGAN,US HOUSE,IL,13,151648,333021,IL.13,"LONDRIGAN, BETSY DIRKSEN",Betsy Dirksen Londrigan for Congress,5343867.56,183942,30011,2020,ILLINOIS,17,33,21,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,5,47050,28.3,90.5,3.3,10.9,3.1,3.1,79.6,81.9,19.8,34.8,0.49499079,715907,0.455370682329343,IL 13 US HOUSE,FALSE,-29725,-0.0892586353413148,0.0344211374879208
58,58,BETTY MCCOLLUM,US HOUSE,MN,4,245813,389114,MN.4,"MCCOLLUM, BETTY",McCollum for House,1001041.41,4611,30281,2020,MINNESOTA,27,41,33,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,12.5,60354,40.8,91.4,11.3,9.6,6.5,3.7,69.2,73,18.1,35.7,0.503581036,686098,0.63172489296196,MN 4 US HOUSE,TRUE,133083,0.342015450484948,0.00460620305407745
59,59,BILL HUIZENGA,US HOUSE,MI,2,238711,403247,MI.2,"HUIZENGA, WILLIAM P",Huizenga for Congress,1920126.16,37645,30247,2020,MICHIGAN,26,34,23,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,5.4,47778,23.4,88.8,2,5.6,9.4,3,80.4,87.1,19.4,36.4,0.446226641,717114,0.591972165942958,MI 2 US HOUSE,TRUE,84589,0.209769694504857,0.0196054825897482
60,60,BILL JOHNSON,US HOUSE,OH,6,249130,334791,OH.6,"JOHNSON, BILL",Bill Johnson for Congress,1852524.89,5131,30686,2020,OHIO,39,31,24,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,1,41606,14.5,86.3,0.5,2.1,1,1.6,94.9,95.5,24.7,42.6,0.454195454,713464,0.744135893736689,OH 6 US HOUSE,TRUE,163469,0.488271787473379,0.00276973336644346
61,61,"BILL PASCRELL,  JR.",US HOUSE,NJ,9,203674,309542,NJ.9,"PASCRELL, WILLIAM J. HON. JR.",Pascrell for Congress,1842258.71,44934,30415,2020,NEW JERSEY,34,22,12,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,35.9,59375,31.1,83.9,13.8,11.3,34.7,3.8,40.6,60.5,18.3,37.2,0.531479202,760064,0.657985023034031,NJ 9 US HOUSE,TRUE,105045,0.339356210142727,0.0243907111178755
